Entity,Code,Year,Deforestation
Africa,,1990,4096
Africa,,2000,4314
Africa,,2010,4444
Africa,,2015,4414
Algeria,DZA,1990,14.8
Algeria,DZA,2000,14.5
Algeria,DZA,2010,1.4
Algeria,DZA,2015,5.4
Argentina,ARG,1990,213.6
Argentina,ARG,2000,327.4
Argentina,ARG,2010,242.4
Argentina,ARG,2015,134.8
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Asia,,1990,4170
Asia,,2000,2684
Asia,,2010,2925
Asia,,2015,2235
Australia,AUS,1990,626.2
Australia,AUS,2000,632.3
Australia,AUS,2010,416.84
Austria,AUT,1990,3.45
Austria,AUT,2000,7.79
Austria,AUT,2010,5.8
Austria,AUT,2015,5.81
Azerbaijan,AZE,2010,81.64
Azerbaijan,AZE,2015,86.36
Bahrain,BHR,1990,0.01
Bahrain,BHR,2000,0.01
Bahrain,BHR,2010,0
Bahrain,BHR,2015,0
Bangladesh,BGD,1990,7.5
Bangladesh,BGD,2000,3.2
Bangladesh,BGD,2010,18.19
Bangladesh,BGD,2015,0
Belarus,BLR,1990,5.8
Belarus,BLR,2000,7.2
Belarus,BLR,2010,4.1
Belarus,BLR,2015,3.5
Belgium,BEL,2010,1.81
Belgium,BEL,2015,1.5
Belize,BLZ,1990,14.07
Belize,BLZ,2000,6.79
Belize,BLZ,2010,11.71
Belize,BLZ,2015,11.16
Bhutan,BTN,1990,0
Bhutan,BTN,2000,0.19
Bhutan,BTN,2010,0.34
Bhutan,BTN,2015,0.43
Bolivia,BOL,1990,270.33
Bolivia,BOL,2000,200.05
Bolivia,BOL,2010,190.69
Bolivia,BOL,2015,242.54
Brazil,BRA,1990,4254.8
Brazil,BRA,2000,5129.3
Brazil,BRA,2010,1867.8
Brazil,BRA,2015,1695.7
Bulgaria,BGR,1990,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Burundi,BDI,1990,8.25
Burundi,BDI,2000,0
Burundi,BDI,2010,0
Burundi,BDI,2015,0
Cameroon,CMR,1990,90.55
Cameroon,CMR,2000,71.7
Cameroon,CMR,2010,58
Cameroon,CMR,2015,58
Canada,CAN,1990,54.42
Canada,CAN,2000,50.45
Canada,CAN,2010,41.3
Canada,CAN,2015,37.52
Cape Verde,CPV,2000,2.84
Cape Verde,CPV,2010,1.9
Cape Verde,CPV,2015,0.82
Cayman Islands,CYM,1990,0.02
Cayman Islands,CYM,2000,0.02
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,1990,30
Central African Republic,CAF,2000,30
Central African Republic,CAF,2010,30
Central African Republic,CAF,2015,30
